0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:06:15 +0700] "GET /cassava_mvc/variety/varietyIndex HTTP/1.1" 200 107641
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:06:15 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:06:16 +0700] "GET /cassava_mvc/resources/images/favicon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:06:17 +0700] "GET /cassava_mvc/variety/varietyCreate/ HTTP/1.1" 200 42173
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:06:17 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:06:32 +0700] "POST /cassava_mvc/variety/varietySave HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:06:32 +0700] "GET /cassava_mvc/variety/varietyIndex HTTP/1.1" 200 123318
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:06:32 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:06:35 +0700] "GET /cassava_mvc/variety/varietyEdit/58 HTTP/1.1" 200 32315
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:06:35 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:06:38 +0700] "GET /cassava_mvc/variety/varietyImageEdit/58 HTTP/1.1" 200 41552
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:06:38 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:06:42 +0700] "GET /cassava_mvc/variety/varietyImageDelete/76 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:06:42 +0700] "GET /cassava_mvc/variety/varietyImageEdit/58 HTTP/1.1" 200 26123
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:06:42 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:06:43 +0700] "POST /cassava_mvc/variety/varietyImageSave HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:06:43 +0700] "GET /cassava_mvc/variety/varietyImageEdit/58 HTTP/1.1" 200 26123
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:06:43 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:06:47 +0700] "POST /cassava_mvc/variety/varietyImageSave HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:06:47 +0700] "GET /cassava_mvc/variety/varietyImageEdit/58 HTTP/1.1" 200 26123
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:06:47 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:06:51 +0700] "POST /cassava_mvc/variety/varietyImageSave HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:06:51 +0700] "GET /cassava_mvc/variety/varietyImageEdit/58 HTTP/1.1" 200 79093
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:06:51 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:06:55 +0700] "POST /cassava_mvc/variety/varietyImageSave HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:06:55 +0700] "GET /cassava_mvc/variety/varietyImageEdit/58 HTTP/1.1" 200 79093
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:06:55 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:06:58 +0700] "GET /cassava_mvc/variety/varietyImageEdit/58 HTTP/1.1" 200 79093
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:06:58 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:07:01 +0700] "GET /cassava_mvc/variety/varietyIndex HTTP/1.1" 200 160859
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:07:01 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:07:05 +0700] "GET /cassava_mvc/variety/varietyDelete/58 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:07:05 +0700] "GET /cassava_mvc/variety/varietyIndex HTTP/1.1" 200 107641
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:07:05 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:07:07 +0700] "GET /cassava_mvc/variety/varietyCreate/ HTTP/1.1" 200 42173
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:07:07 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:07:21 +0700] "POST /cassava_mvc/variety/varietySave HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:07:21 +0700] "GET /cassava_mvc/variety/varietyIndex HTTP/1.1" 200 193485
0:0:0:0:0:0:0:1 - - [02/Oct/2022:14:07:21 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
