0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:09:07 +0700] "GET /cassava_mvc/variety/varietyEdit/51 HTTP/1.1" 200 32158
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:09:07 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:11:27 +0700] "GET /cassava_mvc/variety/varietyIndex HTTP/1.1" 200 43096
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:11:27 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:11:29 +0700] "GET /cassava_mvc/variety/varietyIndex HTTP/1.1" 200 218481
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:11:29 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:11:31 +0700] "GET /cassava_mvc/variety/varietyCreate/ HTTP/1.1" 200 32020
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:11:31 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:11:51 +0700] "POST /cassava_mvc/variety/varietySave HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:11:51 +0700] "GET /cassava_mvc/variety/varietyIndex HTTP/1.1" 200 263470
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:11:51 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:11:53 +0700] "GET /cassava_mvc/variety/varietyEdit/54 HTTP/1.1" 200 32163
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:11:53 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:11:56 +0700] "GET /cassava_mvc/variety/varietyImageEdit/54 HTTP/1.1" 200 246096
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:11:56 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:12:00 +0700] "POST /cassava_mvc/variety/varietyImageSave HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:12:00 +0700] "GET /cassava_mvc/variety/varietyImageEdit/54 HTTP/1.1" 200 442675
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:12:00 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:12:03 +0700] "POST /cassava_mvc/variety/varietyImageSave HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:12:03 +0700] "GET /cassava_mvc/variety/varietyImageEdit/54 HTTP/1.1" 200 443367
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:12:03 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:12:09 +0700] "GET /cassava_mvc/variety/varietyImageDelete/46 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:12:09 +0700] "GET /cassava_mvc/variety/varietyImageEdit/54 HTTP/1.1" 200 442675
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:12:09 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:12:14 +0700] "GET /cassava_mvc/variety/varietyIndex HTTP/1.1" 200 252443
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:12:14 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:18:59 +0700] "GET /cassava_mvc/variety/varietyIndex HTTP/1.1" 200 438855
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:18:59 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:19:51 +0700] "GET /cassava_mvc/variety/varietyIndex HTTP/1.1" 200 239930
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:19:51 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:19:53 +0700] "GET /cassava_mvc/variety/varietyEdit/51 HTTP/1.1" 200 32158
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:19:53 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:19:55 +0700] "GET /cassava_mvc/variety/varietyImageEdit/51 HTTP/1.1" 200 497591
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:19:55 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:25:13 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:25:13 +0700] "GET /cassava_mvc/variety/varietyImageEdit/51 HTTP/1.1" 200 497591
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:25:17 +0700] "POST /cassava_mvc/variety/varietyImageSave HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:25:17 +0700] "GET /cassava_mvc/variety/varietyImageEdit/51 HTTP/1.1" 200 498276
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:25:17 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:25:23 +0700] "GET /cassava_mvc/variety/varietyImageDelete/47 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:25:23 +0700] "GET /cassava_mvc/variety/varietyImageEdit/51 HTTP/1.1" 200 497591
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:25:23 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:25:27 +0700] "GET /cassava_mvc/variety/varietyIndex HTTP/1.1" 200 252443
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:25:27 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:28:10 +0700] "GET /cassava_mvc/variety/varietyEdit/51 HTTP/1.1" 200 32158
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:28:10 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:28:12 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:28:12 +0700] "GET /cassava_mvc/variety/varietyImageEdit/51 HTTP/1.1" 200 497591
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:28:21 +0700] "POST /cassava_mvc/variety/varietyImageSave HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:28:21 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:28:21 +0700] "GET /cassava_mvc/variety/varietyImageEdit/51 HTTP/1.1" 200 498276
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:31:23 +0700] "GET /cassava_mvc/variety/varietyImageEdit/51 HTTP/1.1" 200 498276
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:31:23 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:31:26 +0700] "GET /cassava_mvc/variety/varietyImageDelete/48 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:31:26 +0700] "GET /cassava_mvc/variety/varietyImageEdit/51 HTTP/1.1" 200 497591
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:31:26 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:31:27 +0700] "POST /cassava_mvc/variety/varietyImageSave HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:31:28 +0700] "GET /cassava_mvc/variety/varietyImageEdit/51 HTTP/1.1" 200 498276
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:31:28 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:31:32 +0700] "GET /cassava_mvc/variety/varietyImageEdit/51 HTTP/1.1" 200 498276
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:31:32 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:31:44 +0700] "GET /cassava_mvc/naturalenemy/naturalenemyIndex HTTP/1.1" 200 43180
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:31:44 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:31:47 +0700] "GET /cassava_mvc/resources/css/font-awesome.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:31:47 +0700] "GET /cassava_mvc/naturalenemy/naturalenemyEdit/10 HTTP/1.1" 200 28438
0:0:0:0:0:0:0:1 - - [14/Sep/2022:21:31:49 +0700] "GET /cassava_mvc/naturalenemy/naturalenemyImageEdit/10 HTTP/1.1" 200 463867
